id_registro,data_evento,cidade,operadora,evento,latitude,longitude,tecnologia,banda,earfcn,pci,rsrp,rsrq,sinr
142,2025-09-09 21:06:56,Belo Horizonte,BRASTEL,Ping,-19.975196,-44.000563,4G,B28 (700MHz),9544,440,-81.0,-13.5,1.9
143,2025-09-10 18:09:50,Belo Horizonte,BRCOMUNICACAO,Ping,-19.839329,-43.961578,4G,B28 (700MHz),9551,198,-92.9,-7.7,19.1
144,2025-09-09 19:56:09,São Paulo,BRASILCOM,Ping,-23.50875,-46.534534,4G,B28 (700MHz),9590,467,-80.8,-6.2,18.4
145,2025-09-04 00:23:15,Brasília,BRASTEL,YouTube,-15.709988,-47.840196,4G,B28 (700MHz),9523,328,-101.4,-7.7,6.7
146,2025-09-03 21:58:10,Rio de Janeiro,BRASTEL,HTTP,-22.896938,-43.192673,4G,B28 (700MHz),9541,357,-106.3,-9.2,2.6
147,2025-09-08 21:46:01,Rio de Janeiro,BRCOMUNICACAO,Voz,-22.975026,-43.096333,4G,B28 (700MHz),9516,403,-94.4,-6.4,14.9
148,2025-09-03 02:28:17,Belo Horizonte,BRCOMUNICACAO,Ping,-19.817787,-43.991083,4G,B28 (700MHz),9635,378,-96.5,-12.5,19.1
149,2025-09-09 00:21:57,Rio de Janeiro,BRASILCOM,Voz,-22.872943,-43.253021,4G,B28 (700MHz),9422,147,-90.2,-5.9,2.9
150,2025-09-01 17:52:23,Brasília,BRCOMUNICACAO,HTTP,-15.747486,-47.947672,4G,B28 (700MHz),9464,357,-81.4,-11.9,3.9
151,2025-09-04 08:26:20,Belo Horizonte,BRASILCOM,YouTube,-19.983783,-43.920543,4G,B28 (700MHz),9457,364,-106.5,-9.7,10.2
152,2025-09-03 12:33:44,Belo Horizonte,BRASTEL,HTTP,-19.836739,-43.9535,4G,B28 (700MHz),9620,329,-84.9,-7.6,1.5
153,2025-09-08 15:02:20,Vitória,BRASILCOM,YouTube,-20.37595,-40.27428,4G,B28 (700MHz),9545,80,-91.4,-12.3,7.2
154,2025-09-08 02:31:21,Rio de Janeiro,BRASILCOM,Voz,-22.933937,-43.227187,4G,B28 (700MHz),9464,60,-106.4,-10.5,14.1
155,2025-09-07 10:40:10,Brasília,BRCOMUNICACAO,YouTube,-15.783243,-47.885712,4G,B28 (700MHz),9437,162,-98.5,-8.0,3.1
156,2025-09-03 08:51:11,Belo Horizonte,BRASILCOM,HTTP,-19.99153,-43.853901,4G,B28 (700MHz),9578,492,-100.0,-12.0,9.9
157,2025-09-04 07:59:18,São Paulo,BRASTEL,HTTP,-23.606221,-46.642021,4G,B28 (700MHz),9512,404,-80.8,-11.9,-0.2
158,2025-09-01 13:52:33,São Paulo,BRCOMUNICACAO,YouTube,-23.585311,-46.539845,4G,B28 (700MHz),9528,179,-86.3,-10.3,2.1
159,2025-09-08 18:32:08,Brasília,BRCOMUNICACAO,Ping,-15.78771,-47.891122,4G,B28 (700MHz),9639,289,-105.7,-13.4,18.0
160,2025-09-03 00:00:58,São Paulo,BRCOMUNICACAO,HTTP,-23.570262,-46.602728,4G,B28 (700MHz),9624,328,-104.6,-5.8,-1.0
161,2025-09-03 12:25:58,Vitória,BRCOMUNICACAO,Ping,-20.28269,-40.307831,4G,B28 (700MHz),9562,497,-82.5,-6.2,13.3
162,2025-09-01 14:47:59,Brasília,BRASTEL,Ping,-15.81985,-47.856761,4G,B28 (700MHz),9545,125,-103.9,-8.9,6.2
163,2025-09-03 22:13:47,Vitória,BRASILCOM,Voz,-20.345688,-40.224137,4G,B28 (700MHz),9601,77,-84.2,-10.8,3.9
164,2025-09-07 08:13:36,Brasília,BRASILCOM,Ping,-15.703891,-47.937612,4G,B28 (700MHz),9652,20,-86.8,-10.5,19.1
165,2025-09-03 01:44:55,Vitória,BRCOMUNICACAO,HTTP,-20.309104,-40.363846,4G,B28 (700MHz),9587,489,-104.4,-8.5,9.1
166,2025-09-01 19:12:27,Belo Horizonte,BRCOMUNICACAO,YouTube,-19.898739,-43.916444,4G,B28 (700MHz),9581,442,-76.3,-5.8,9.7
167,2025-09-06 15:32:24,Belo Horizonte,BRCOMUNICACAO,YouTube,-19.94981,-43.946004,4G,B28 (700MHz),9630,26,-102.5,-8.4,12.9
168,2025-09-06 03:39:56,Belo Horizonte,BRCOMUNICACAO,YouTube,-19.839667,-43.94329,4G,B28 (700MHz),9565,332,-79.7,-9.0,11.7
169,2025-09-02 04:19:25,Rio de Janeiro,BRASILCOM,Ping,-22.984914,-43.217938,4G,B28 (700MHz),9635,174,-95.5,-11.5,15.6
170,2025-09-09 20:51:58,Rio de Janeiro,BRASTEL,YouTube,-22.891604,-43.186158,4G,B28 (700MHz),9657,135,-104.6,-9.2,2.8
171,2025-09-07 22:02:02,Vitória,BRASTEL,YouTube,-20.384357,-40.319278,4G,B28 (700MHz),9576,442,-99.7,-10.0,9.1
172,2025-09-10 15:08:50,Belo Horizonte,BRCOMUNICACAO,Ping,-19.842467,-43.851362,4G,B28 (700MHz),9538,242,-80.5,-9.4,18.2
173,2025-09-08 17:45:13,Belo Horizonte,BRCOMUNICACAO,YouTube,-19.978294,-43.886905,4G,B28 (700MHz),9484,239,-89.7,-8.3,19.9
174,2025-09-06 13:28:22,Rio de Janeiro,BRASILCOM,HTTP,-22.90166,-43.219357,4G,B28 (700MHz),9559,432,-87.9,-6.7,0.8
175,2025-09-01 19:51:48,Rio de Janeiro,BRASILCOM,YouTube,-22.90478,-43.191844,4G,B28 (700MHz),9534,331,-82.3,-5.6,12.3
176,2025-09-05 12:22:21,Belo Horizonte,BRASTEL,Ping,-19.97521,-43.935743,4G,B28 (700MHz),9515,393,-82.9,-7.8,13.0
